UserID,Review_Text,Date,NumberOfVisit,Satisfaction,Taste Positive,Taste Negative,Service,Price
인천엔젤,대게랑 디저트가 맛있었습니다,2023년 1월 15일 일요일,1번째 방문,긍정,"['대게', '디저트']",['대상 없음'],긍정,-
Lachata,국,2023년 7월 6일 목요일,1번째 방문,-,['대상 없음'],['국'],-,-
으니으지,사람 너무 많아요 생일이라 간 건데 그냥 결혼식장 뷔페 같네요 음식은 맛있어요,2022년 10월 7일 금요일,1번째 방문,부정,-,-,부정,부정
4hlee,맛있어요,2023년 5월 3일 수요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
jesusinyou,베리굿,2023년 5월 3일 수요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
루루1111,연말 송년 모임으로 다녀왔는데 얼마 못 먹어서 아쉽지만 친절해서 좋았어요 수프와 스테이크 쌀국수 맛납니다,2022년 12월 17일 토요일,1번째 방문,긍정,"['스테이크', '쌀국수']",['대상 없음'],긍정,-
게으른냐옹,신라는 역시 디저트가 좋아요 디저트와 친절함에 기분이 좋아집니다 꽤 오랜만에 신라에 다시 왔는데 다시 오길 잘했다는 생각이 들었어요 음식을 많이 먹진 못했지만 기 분 좋았어요 워커힐도 조선도 좋지만 이상하게 신라에 오면 맘이 편하네요 올해 다시 한 번은 올 거 같아 요,2022년 9월 17일 토요일,1번째 방문,긍정,"['디저트', '친절함', '기분', '음식', '-']",['대상 없음'],긍정,-
내네임,가격 대비해서는 실망,2022년 12월 9일 금요일,1번째 방문,부정,['-'],['대상 없음'],부정,부정
뿅글,직원 분들 친절하시고 음식도 맛있어요,2023년 1월 28일 토요일,1번째 방문,긍정,-,-,긍정,-
cha****,장충동에 있는 호텔 뷰 페 식당입니다 모든 구성 알차고 맛있고 직원 모두 친절해요,2023년 3월 4일 토요일,1번째 방문,긍정,['식당'],['-'],긍정,-
심똥이,친절 신선 존 만 그 잡채,2023년 2월 20일 월요일,1번째 방문,긍정,['잡채'],['대상 없음'],긍정,-
ljw159,너무 친절하시고 이번에 가 유독 맛있었어요,2023년 1월 20일 금요일,1번째 방문,긍정,-,-,긍정,-
맛있는거먹으러왔지호,저녁 팁을 드리자면 사람이 굉장히 많고 입장하자 모두가 음식을 받기 위해 줄을 서서 따뜻한 음식들을 받아도 다른 음식 받기 위해 기다리다 보면 이미 식어서 자리로 오게 됩니다 들어가자마자 인원들이 음식 받고 식사 시작하면 그때 음식들을 받고 스테이크 등은 자리 앉기 직전에 받아서 오는 게 좋겠더라고 요 초밥은 원하는 생선으로 원하는 개수로 따로 쥐어 주십 니다,2022년 12월 9일 금요일,1번째 방문,부정,-,-,부정,-
아띠2861,디저트가 정말 훌륭하고 과일 당도도 뛰어나 요 음식은 최곤데 접시가 너무너무 무거워요,2022년 11월 3일 목요일,1번째 방문,부정,"['디저트', '과일 당도']",['접시'],부정,-
야금야금냠,적당히 먹을 만 합니다,2023년 2월 12일 일요일,1번째 방문,긍정,['-'],['-'],긍정,긍정
삥구1004,맛있어요,2023년 8월 9일 수요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
안녕해용잉,더 파크뷰 말이 필요 없습니다,2022년 9월 11일 일요일,1번째 방문,긍정,-,-,긍정,긍정
겔럭시57,맛있게 잘 먹었습니다,2022년 11월 18일 금요일,1번째 방문,긍정,-,-,긍정,-
행복하자6558,너무 열심히 먹느라 음식 사진 찍는 건 잊고 있었네요 고기 종류 요리가 맛있어요 스테이크 훌륭 대게는 매번 차가 워서 안 먹게 되네요 비싸지만 디저트만 제대로 먹어도 아깝지 않아 요 예약이 쉽지 않다는 게 단점입니다,2022년 7월 9일 토요일,1번째 방문,긍정,['스테이크'],['대게'],긍정,부정
엠제이4,여기 갈 때마다 느끼지만 음식이 너무 많고 맛있어서 위가 더 넓었으면 좋겠단 생각해요,2022년 8월 7일 일요일,1번째 방문,긍정,-,-,긍정,-
파페포퐁,즐겁고 행복한 연말 식사였습니다,2022년 12월 31일 토요일,1번째 방문,긍정,-,-,긍정,-
kbh22,맛있게 잘 먹었어요,2022년 11월 9일 수요일,1번째 방문,긍정,-,-,긍정,-
어른아이83,음식 맛있고 좋아요 서비스도 좋고요,2022년 8월 18일 목요일,1번째 방문,긍정,['음식'],['대상 없음'],긍정,-
ouoq,맛있고 친절하셔요 역시 호텔신라,2022년 11월 5일 토요일,1번째 방문,긍정,['대상 없음'],['대상 없음'],긍정,-
요즘남자,맛있어요,2023년 9월 26일 화요일,1번째 방문,긍정,-,-,긍정,-
정글레오,사람이 너무 많아서 줄 서 다가 음식이 식어요,2022년 12월 4일 일요일,1번째 방문,부정,['-'],['음식'],부정,-
토끼4391,안심스테이크 정말 부드러워요,2022년 10월 29일 토요일,1번째 방문,긍정,-,-,긍정,-
미미3358,분위기도 괜찮고 서비스도 매우 좋아요 음식도 다 괜찮은 편이에 요 화장실이 너무 작은 게 흠이에 요,2022년 10월 14일 금요일,1번째 방문,부정,['음식'],['화장실'],긍정,-
G 02,전체적으로 음식에 대한 만족도는 꽤 높습니다 다 만 가격 대비 적정한가에 대해서는 좀 의 문입니다 중식을 많이 기대했는데 기대에 못 미쳤고 스시 코너도 빈약한 감이 있습니다 테이블에 인원마다 주시는 수프는 정말 맛 있었도 특히 디저트 류가 맛있습니다 배 부른 상태인데도 레몬 케이크는 베스트였어요 또 직원 분들이 친절하셔서 인상 깊었습니다,2022년 4월 18일 월요일,1번째 방문,부정,"['수프', '디저트류', '레몬 케이크']","['중식', '스시 코너']",긍정,-
김맥주,중식류가 유명한 걸 뒤늦게 알아서 아쉬웠던 파크뷰 서비스가 친절하고 육류가 다양합니다,2022년 9월 8일 목요일,1번째 방문,긍정,['육류'],['대상 없음'],긍정,-
유아쏘뷰티풀,스테이크는 오늘은 맛있어요 파크뷰는 대게 맛집 가격이 올라서 솔직히 155만 원 대비 가성비는 이 젠 별로 인 것 같아 요 발레할 경우에만 주차 편해요 비 오는 오늘 같은 경우 발레 안 했음,2022년 7월 31일 일요일,1번째 방문,부정,['스테이크'],['파크뷰'],부정,부정
히히히히히6,진짜 맛있었고 기념일로 가기도 좋아요,2022년 9월 17일 토요일,1번째 방문,긍정,['-'],['-'],긍정,긍정
갬갱,매장 안에 화장실이 2개밖에 없어서 좀 오래 기 다림 직원들은 친절했으나 사람이 많음,2022년 10월 10일 월요일,1번째 방문,부정,['대상 없음'],['대상 없음'],부정,-
two****,좋아요,2023년 2월 12일 일요일,1번째 방문,긍정,['대상 없음'],['-'],긍정,-
소소한영수증,직원 분들 친절하고 음식 깔끔하고 좋아요,2022년 7월 25일 월요일,1번째 방문,긍정,-,-,긍정,-
인헌동당그니,마시어 용 근데 제주보단 덜한 듯 제주는 전복도 있는데 저의 최애 메뉴는 해삼 주스 스시 치즈 초코 따끈한 디저트 이름 모름 그 외의 중 식도 훌륭하고 워낙 유명하지요 파스타도 맛있어요,2022년 5월 20일 금요일,1번째 방문,긍정,"['해삼 주스', '스시', '치즈 초코', '다끈한 디저트', '파스타']",['대상 없음'],긍정,-
먹깨비깨비16,디저트와 과일 먹으러 가는데 계절에 따라 과일이 차이가 있음 가성비가 좋다고 말하긴 어려움 주차장 발레 안 하면 사용 불편 등산해야 함중식 좋고 디저트 과일이 좋음 직원들이 내부 정리를 조용히 잘해줌 인원이 많아도 시장 같지 않게 정리해 주는 게 신라의 장점,2022년 4월 9일 토요일,1번째 방문,긍정,['대상 없음'],"['디저트', '과일']",긍정,-
siri1989,친구 생일에 맞춰 처음 방문했어요 맛있다는 후기가 많아서 엄청 기대하고 갔죠 평소에도 뷔페는 그다지 선호하는 편이 아녔는데 역시나 여기도 그냥 저냥 다양하게 맛 볼 수 있는 건 너무 좋았는데 해산물 중 새우 먹다가 비린 뒤로는 입맛이 싹 사라졌어요 그렇다고 안 먹은 건 아닌데 무얼 먹더라도 맛있다고 느껴지지 않아서 아쉬웠네요 아 그렇지만 양고기와 버섯 수프 는 진짜 맛있었어요 양고기 진짜 냄새 0,2022년 3월 18일 금요일,1번째 방문,부정,"['양고기', '버섯 수프']",['새우'],부정,-
sj5****,양 갈비가 제일 맛있어요 La갈비 맛있었는데 없어져서 아쉬워요 주말에 1부는 시간이 촉박해요 2시간이라서 대화 나누면서 충분히 먹기에는 부족하고 30분 정도 더 있으면 좋겠어요,2022년 9월 18일 일요일,1번째 방문,부정,['양 갈비'],['La갈비'],부정,-
마츠코,가격 오르고 가성비 떨어진다는 데 처음 와본 사람으로서 이전에 어땠는지 모르겠지만 인터넷 후기에서 보던 와플도 없고 뭐 없는 게 너무 많아서 직원 분들만 친절했어요 처음엔 하나씩만 맛 좀 보자 했는데 그냥 나중엔 먹을 게 없다 날까 왤까요 배가 찢어져서 못 먹겠다 라기 보다 조금 사실적으로 아웃백 파크뷰 빕스 느낌이에요 와플 왜 없었나요,2022년 8월 24일 수요일,1번째 방문,부정,['-'],['와플'],부정,부정
디기디기디기갱갱,가격은 있지만 특별한 날 가기 좋아요 개인적으로 해산물보다는 디저트 육류 순으로 맛있었습니다,2022년 10월 10일 월요일,1번째 방문,긍정,['디저트'],['해산물'],긍정,-
캠퍼필즈,음식이 다양하고 전반적으로 다 맛있어요 무엇보다 다들 친절하고 서비스가 너무 좋아요,2022년 6월 18일 토요일,1번째 방문,긍정,['다양하고 다 맛있음'],['대상 없음'],긍정,긍정
youjin727,사람이 너무 많았지만 맛있게 잘 먹고 왔어요,2023년 1월 15일 일요일,1번째 방문,긍정,-,-,긍정,-
